duration,game_mode,match_id,human_players,radiant_score,version,start_time,dire_score,radiant_win,skill,leagueid,patch,objectives,first_blood_time,region,kills_per_min,total_xp,player_slot,xp_per_min,gold_per_min,item_0,net_worth,hero_damage,total_gold,kda,account_id,item_5,kill_streaks,rank_tier,deaths,hero_id,kills,tower_damage,last_hits,item_3,randomed,level,item_4,item_1,isRadiant,hero_healing,item_2
24.98,game_mode_turbo,5992892484,10,31,,2021-05-13 23:11:06,30,True,1,0,48,,1.78,North America,0.1200800533689126,39148,0,1567,738,50,18521,7691,18437,1,,114,,,4,59,3,2182,78,210,,29,116,151,True,0,73
24.98,game_mode_turbo,5992892484,10,31,,2021-05-13 23:11:06,30,True,1,0,48,,1.78,North America,0.3602401601067378,39148,1,1567,1291,236,32288,27668,32253,2,,141,,,4,6,9,15670,156,63,,30,139,156,True,0,53
24.98,game_mode_turbo,5992892484,10,31,,2021-05-13 23:11:06,30,True,1,0,48,,1.78,North America,0.4402935290193462,50141,2,2007,1345,156,34138,40316,33602,2,16829459,168,,3,7,25,11,9771,142,116,,30,158,160,True,0,48
24.98,game_mode_turbo,5992892484,10,31,,2021-05-13 23:11:06,30,True,1,0,48,,1.78,North America,0.2801867911941294,41522,3,1662,862,121,20738,31825,21535,1,,180,,,9,105,7,389,53,247,,28,141,51,True,0,0
24.98,game_mode_turbo,5992892484,10,31,,2021-05-13 23:11:06,30,True,1,0,48,,1.78,North America,0.0400266844563042,36000,4,1441,486,232,12229,3718,12141,0,133356689,180,,,8,50,1,428,33,0,,26,43,229,True,3002,77
24.98,game_mode_turbo,5992892484,10,31,,2021-05-13 23:11:06,30,True,1,0,48,,1.78,North America,0.200133422281521,34526,128,1382,669,1,16103,23566,16713,2,,0,,,6,84,5,0,63,53,,26,220,235,False,0,218
24.98,game_mode_turbo,5992892484,10,31,,2021-05-13 23:11:06,30,True,1,0,48,,1.78,North America,0.2401601067378252,34202,129,1369,587,231,13365,20511,14665,2,,235,,,8,87,6,0,38,0,,26,0,254,False,371,218
24.98,game_mode_turbo,5992892484,10,31,,2021-05-13 23:11:06,30,True,1,0,48,,1.78,North America,0.1200800533689126,31703,130,1269,524,50,13695,15836,13091,0,,0,,,8,114,3,0,74,145,,25,143,116,False,0,216
24.98,game_mode_turbo,5992892484,10,31,,2021-05-13 23:11:06,30,True,1,0,48,,1.78,North America,0.3202134756504336,34202,131,1369,561,116,13449,28801,14015,4,,0,,,3,30,8,261,26,108,,26,0,102,False,2009,214
24.98,game_mode_turbo,5992892484,10,31,,2021-05-13 23:11:06,30,True,1,0,48,,1.78,North America,0.2801867911941294,43396,132,1737,620,36,15657,16808,15489,2,,116,,,6,20,7,1128,48,81,,27,162,214,False,675,108
53.28,game_mode_all_draft,5992892483,10,46,,2021-05-13 23:11:06,58,False,,0,48,,3.15,South America,0.2064435408195183,37937,0,712,651,50,24741,37127,34687,1,,108,,,9,8,11,0,512,139,,29,145,147,True,1316,143
53.28,game_mode_all_draft,5992892483,10,46,,2021-05-13 23:11:06,58,False,,0,48,,3.15,South America,0.07507037847982484,26694,1,501,328,1,13442,15986,17476,1,,214,,,13,7,4,0,80,108,,24,0,188,True,788,152
53.28,game_mode_all_draft,5992892483,10,46,,2021-05-13 23:11:06,58,False,,0,48,,3.15,South America,0.28151391929934316,39323,2,738,508,77,22014,44628,27067,2,,206,,,10,101,15,114,205,108,,27,77,231,True,2351,96
53.28,game_mode_all_draft,5992892483,10,46,,2021-05-13 23:11:06,58,False,,0,48,,3.15,South America,0.2627463246793869,38577,3,724,502,127,20306,37318,26748,1,,114,,,13,97,14,1744,253,1,,27,116,51,True,0,180
53.28,game_mode_all_draft,5992892483,10,46,,2021-05-13 23:11:06,58,False,,0,48,,3.15,South America,0.01876759461995621,22965,4,431,313,50,14684,10871,16677,1,,9,,,13,71,1,0,97,0,,22,244,116,True,400,108
53.28,game_mode_all_draft,5992892483,10,46,,2021-05-13 23:11:06,58,False,,0,48,,3.15,South America,0.07507037847982484,30051,128,564,337,244,15386,13296,17956,2,161408710,232,,1,12,31,4,1058,72,263,,25,152,108,False,140,0
53.28,game_mode_all_draft,5992892483,10,46,,2021-05-13 23:11:06,58,False,,0,48,,3.15,South America,0.13137316233969346,32183,129,604,376,214,17354,28008,20034,1,,0,,,15,27,7,2842,89,116,,26,36,232,False,0,110
53.28,game_mode_all_draft,5992892483,10,46,,2021-05-13 23:11:06,58,False,,0,48,,3.15,South America,0.31904910853925555,36712,130,689,681,0,31080,77149,36285,4,,249,,,9,35,17,17661,353,48,,29,158,263,False,0,156
53.28,game_mode_all_draft,5992892483,10,46,,2021-05-13 23:11:06,58,False,,0,48,,3.15,South America,0.31904910853925555,39802,131,747,672,123,32098,54149,35806,6,,168,,,5,106,17,2563,389,141,,30,50,145,False,0,116
